ward,category,program_name,min_age_months,max_age_months,income_condition,program_type,amount_or_content,application_channel,required_documents,has_deadline,deadline_rule,source_url,fetched_at,reviewed_by,notes
世田谷区,妊婦支援給付,妊婦のための支援給付(1回目),,,なし,現金給付,5万円(妊婦1人につき),オンライン or 窓口,母子健康手帳,1,妊娠が医療機関で確認された日から2年以内,https://www.city.setagaya.lg.jp/02244/1178.html,2026-09-06,,令和7年4月1日以降に妊娠した人が対象
世田谷区,妊婦支援給付,妊婦のための支援給付(2回目),,,なし,現金給付,5万円×妊娠している子の数,オンライン or 窓口,母子健康手帳,1,出産予定日の8週間前から2年以内,https://www.city.setagaya.lg.jp/02244/1178.html,2026-09-06,,1回目と別申請
千代田区,出産祝い金・出産費用助成,出産費用助成(区独自制度),,,なし,実費償還,出産育児一時金を超えた自己負担分を最大31万円まで助成,窓口 or オンライン,出産費用の領収明細書等,1,出産後の申請(詳細な期限は公式サイトで要確認),https://www.city.chiyoda.lg.jp/koho/kosodate/teate/shussanhiyojosei.html,2026-09-06,,区独自制度として公式ページに明記あり
中央区,出産祝い金・出産費用助成,出産・子育て応援事業(区内共通買物・食事券),,,なし,現物給付,区内共通買物・食事券 合計5万円分(新生児誕生祝品3万円+追加2万円),窓口 or オンライン,母子健康手帳等,1,出産後の申請(詳細は公式サイトで要確認),https://www.city.chuo.lg.jp/a0031/kosodate/shussan/shussanshien/r6_shussan_kosodateouenjigyou.html,2026-09-06,,"公式ページの記載期間が「令和5年4月〜令和7年3月」となっており、2026年度時点で継続しているか要再確認"
港区,出産祝い金・出産費用助成,出産費用の助成,,,なし,実費償還,"助成金算出上限額(1人81万円/双子129万円/三つ子177万円)または出産費用実費のいずれか低い額から、出産育児一時金等を差し引いた額を助成",窓口 or オンライン,出産費用の領収書等,1,出産後の申請(詳細な期限は公式サイトで要確認),https://www.city.minato.tokyo.jp/kodomokyufu/kenko/ninshin/shussan/jose.html,2026-09-06,,双子・三つ子で上限額が変わる
新宿区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.shinjuku.lg.jp/kodomo/index02.html,2026-09-06,,調査の結果、区独自の出産関連上乗せ制度は確認できず(国の制度のみ)
文京区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.bunkyo.lg.jp/b027/p007561.html,2026-09-06,,調査の結果、出産祝い金に相当する区独自の現金給付は確認できず(新生児聴覚検査費助成・産婦健康診査費助成は別カテゴリとして存在)
台東区,出産祝い金・出産費用助成,出産費用助成制度,,,なし,現金給付,出産した区民一律5万円,オンライン申請(電子申請),住民票要件等,1,出産後の申請(詳細な期限は公式サイトで要確認),https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/mokutei/teate_josei/syussanhiyoujyosei.html,2026-09-06,,出産日当日に台東区に住民票がある産婦が対象
墨田区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/oyako_kenko/ninshin/yurikagosumida.html,2026-09-06,,調査の結果、区独自の出産関連上乗せ制度は確認できず(国・都の制度の組み合わせが中心)
江東区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://pulmo.jp/8440/,2026-09-06,,公式ページ(city.koto.lg.jp)未確認・まとめサイト情報。調査の結果、区独自の出産費用上乗せ制度は確認できず(要公式ページでの再確認)
