ward,category,program_name,min_age_months,max_age_months,income_condition,program_type,amount_or_content,application_channel,required_documents,has_deadline,deadline_rule,source_url,fetched_at,reviewed_by,notes
千代田区,産前産後家事育児支援ヘルパー,育児支援訪問事業,-9,12,所得に応じて利用料が変動(具体額は要確認),クーポン・利用料減免,"年間合計60時間まで(多胎児は120時間まで)利用可能。料金は所得に応じて変動(具体額は公式ページに記載なし、要確認)",窓口,母子健康手帳,0,,https://www.city.chiyoda.lg.jp/koho/kosodate/kosodate/ninshin/homon.html,2026-09-06,,母子健康手帳取得時から子が1歳未満が対象。親族等の支援者がいないことが条件
中央区,産前産後家事育児支援ヘルパー,育児支援ヘルパー,-9,6,料金は時間・所得により変動(具体額要確認),クーポン・利用料減免,"1回2〜3時間、妊娠・出産ごとに15回まで利用可能(多胎児は人数分に応じて回数増加)",窓口(子ども家庭支援センターきらら中央),母子健康手帳,0,,https://www.city.chuo.lg.jp/a0025/kosodate/shussan/shussanshien/ikujisien.html,2026-09-06,,母子健康手帳取得時から産後6ヶ月までが対象
港区,産前産後家事育児支援ヘルパー,港区産前産後家事・育児支援サービス,-9,36,非課税世帯は半額,クーポン・利用料減免,"単胎児は1時間1,000円(非課税世帯は半額)。妊娠中〜1歳前日まで128時間、1〜2歳前日まで48時間、2〜3歳前日まで48時間利用可能。電子クーポンで自動更新",オンライン(事前ID登録要)/子ども家庭支援センター,母子健康手帳,0,,https://www.city.minato.tokyo.jp/kosodatesien/kenko/ninshin/shussan/mama-support.html,2026-09-06,,妊娠中から子が3歳になる前日まで利用可能
新宿区,産前産後家事育児支援ヘルパー,産前産後支援事業,-9,12,住民税非課税世帯等は減額・免除,クーポン・利用料減免,"産後ドゥーラは1時間1,500円、ヘルパーは1時間1,000円(所得等に応じて減免あり)",窓口(子ども家庭部)/オンライン,母子健康手帳,0,,https://www.city.shinjuku.lg.jp/kodomo/file03_02_00001.html,2026-09-06,,前日17時以降のキャンセルは1時間分のキャンセル料が発生
文京区,産前産後家事育児支援ヘルパー,おうち家事・育児サポート事業,0,36,なし(要確認),クーポン・利用料減免,年齢区分ごとにサポート券2枚(2時間相当)分が無料,窓口,母子健康手帳,0,,https://www.city.bunkyo.lg.jp/b022/p001690.html,2026-09-06,,満3歳未満の乳幼児が対象。ふたごちゃん・みつごちゃん向けの別制度もあり
台東区,産前産後家事育児支援ヘルパー,産前産後支援ヘルパー"あったかハンド"(一般向け),0,36,なし(要確認),クーポン・利用料減免,1時間300円(月〜土9時〜17時利用可能),窓口,母子健康手帳,0,,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/nenrei/ninshin/soudan_shien/helper_ippan.html,2026-09-06,,母子健康手帳取得時から子が3歳未満まで利用可能。多胎世帯向けの別枠あり(令和7年4月に制度拡充)
墨田区,産前産後家事育児支援ヘルパー,家事・育児サポーター事業,-9,24,要確認,クーポン・利用料減免,料金の具体額は公式ページに明記なし(要確認)。掃除・買い物・沐浴補助・授乳補助等に対応,窓口(事前登録要),母子健康手帳,0,,https://www.city.sumida.lg.jp/kosodate_kyouiku/kosodate_site/sodan/kajiikuji.html,2026-09-06,,妊娠中および2歳までの子がいる家庭が対象。事由は問わない
江東区,産前産後家事育児支援ヘルパー,こうとう家事・育児サポート事業,0,,要確認,クーポン・利用料減免,子どもの年齢によって利用可能時間の上限が変動(具体的な料金額は公式ページで要確認),窓口(こども家庭支援課),母子健康手帳,0,,https://www.city.koto.lg.jp/281012/kajiikuji-kateihoumon.html,2026-09-06,,多胎児家庭向けの訪問支援事業(ドゥーラ、妊娠中〜1歳未満で240時間)も別途あり
品川区,産前産後家事育児支援ヘルパー,すこやかサポート(育児支援ヘルパー),-1,12,あり(減免制度、詳細要確認),クーポン・利用料減免,"1時間410円(減免制度あり)。9時〜18時のうち連続4時間以内",窓口(家庭あんしんセンター),母子健康手帳,0,,http://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-kateisoudan/hpg000023819.html,2026-09-06,,産前1ヶ月〜退院翌日から1年間利用可能。産後ドゥーラ助成(0〜1歳)や多胎児家庭向け助成は別制度
目黒区,産前産後家事育児支援ヘルパー,家事育児支援ヘルパー派遣事業,-9,,生活保護世帯・住民税非課税世帯は無料,クーポン・利用料減免,"1時間500円(初回6時間まで無料。生活保護・非課税世帯は無料)。1回2〜3時間",窓口,母子健康手帳,0,,https://www.city.meguro.tokyo.jp/kosodateshien/kosodatekyouiku/kosodate/sanzensangosien.html,2026-09-06,,出産間近の妊婦時から産後の家庭が対象
