ward,category,program_name,min_age_months,max_age_months,income_condition,program_type,amount_or_content,application_channel,required_documents,has_deadline,deadline_rule,source_url,fetched_at,reviewed_by,notes
千代田区,ひとり親家庭向け支援,ひとり親家庭等医療費助成(マル親)+高校生医療費肩代わり,0,216,所得制限あり(詳細は窓口で確認),現物給付,"マル親医療証で自己負担分を助成。区独自に、高校生年代の医療費自己負担分(通常200円/回)も区が肩代わりして実質無料化",窓口,健康保険証・戸籍謄本等,0,,https://www.city.chiyoda.lg.jp/koho/kosodate/kosodate/hitorioya/teate/hitorioya-i.html,2026-09-06,,高校生医療費の自己負担肩代わりは千代田区独自の上乗せ
中央区,ひとり親家庭向け支援,ひとり親家庭等医療費助成+休養ホーム事業,0,216,所得制限あり,現物給付,"マル親医療証に加え、児童育成手当受給者向けに宿泊施設・日帰り施設・観劇等の利用料を一部助成する「休養ホーム事業」あり",窓口,健康保険証・戸籍謄本等,0,,https://www.city.chuo.lg.jp/a0020/kosodate/kosodate/hitorioya/teate/iryohizyosei.html,2026-09-06,,休養ホーム事業は複数区で確認される横並び制度の一つ
港区,ひとり親家庭向け支援,ひとり親家庭等医療費助成+フードサポート等,0,216,"高校生世代医療費助成は所得制限なし。マル親医療証本体は所得制限あり",現物給付,"マル親医療証に加え、港区独自でフードサポート事業(食材・レトルト食品の配送)、未就学児2人以上の多子世帯への移動支援、都営交通無料パス等",窓口,健康保険証・戸籍謄本等,0,,https://www.city.minato.tokyo.jp/kateisoudan/kodomo/kodomo/hitorioya/iryo.html,2026-09-06,,フードサポート事業は港区独自の目立つ上乗せ
新宿区,ひとり親家庭向け支援,ひとり親家庭等医療費助成+休養ホーム+養育費確保費用助成,0,216,所得制限あり,現物給付,"マル親医療証に加え、休養ホーム(宿泊・日帰り施設の無料/低額利用)、養育費確保費用の助成(公正証書作成費用等)",窓口,健康保険証・戸籍謄本等,0,,https://www.city.shinjuku.lg.jp/kodomo/file03_05_00002.html,2026-09-06,,
文京区,ひとり親家庭向け支援,ひとり親家庭等医療費助成+子育て訪問支援券+高校生世代育成支援金,0,216,所得制限あり(訪問支援券は所得に応じ自己負担額が変動),現物給付,"マル親医療証に加え、区独自で「ひとり親家庭子育て訪問支援券」(小6までベビーシッター利用)、「高校生世代育成支援金」(16〜18歳、2026年9月までの時限事業)",窓口,健康保険証・戸籍謄本等,0,,https://www.city.bunkyo.lg.jp/kyoiku/kosodate/okosan/ichijiteki/hitorioyasienken.html,2026-09-06,,高校生世代育成支援金は期間限定の独自事業(終了時期に注意)
台東区,ひとり親家庭向け支援,ひとり親家庭等医療費助成+ひとり親交流会等,0,216,所得制限あり,現物給付,マル親医療証に加え、ひとり親交流会「clovers」やホームヘルプサービス等の支援メニューあり,窓口,健康保険証・戸籍謄本等,0,,https://city.taito.lg.jp/index/kurashi/kosodate/mokutei/hitorioya/index.html,2026-09-06,,際立った金銭的上乗せは確認できず(標準的な支援メニュー中心)
墨田区,ひとり親家庭向け支援,ひとり親家庭等医療費助成+養育費相談支援,0,216,所得制限あり,現物給付,マル親医療証に加え、養育費の取り決め(公正証書作成・家事調停等)に関する相談・同行支援を無料で実施,窓口,健康保険証・戸籍謄本等,0,,https://www.city.sumida.lg.jp/kosodate_kyouiku/kosodate_site/teate_jyosei_shien/hitori_oya/index.html,2026-09-06,,
江東区,ひとり親家庭向け支援,ひとり親家庭等医療費助成+養育費確保費用助成+住宅探し支援,0,216,所得制限あり,現物給付,"マル親医療証に加え、養育費確保費用助成(取り決め費用の補助)、住宅探し支援(所得要件を満たす場合は契約関連費用の補助も)",窓口,健康保険証・戸籍謄本等,0,,https://www.city.koto.lg.jp/kosodate/hitorioya.html,2026-09-06,,
品川区,ひとり親家庭向け支援,ひとり親家庭等医療費助成+住宅入居支援+臨時給付金,0,216,所得制限あり,現物給付,"マル親医療証に加え、住宅入居支援(保証会社への初回保証委託料を助成)、休養ホーム事業。令和6年度は「ひとり親世帯臨時特別給付金」を区独自で実施(単発)",窓口,健康保険証・戸籍謄本等,0,,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-hitorioya/index.html,2026-09-06,,臨時特別給付金は単発事業のため2026年度の実施有無は要再確認
目黒区,ひとり親家庭向け支援,ひとり親家庭等医療費助成+ホームヘルパー派遣(介護券),0,216,所得制限あり,現物給付,"マル親医療証に加え、ホームヘルパー派遣を1時間300円(月20時間まで)で利用可能。生活保護世帯は無料",窓口,健康保険証・戸籍謄本等,0,,https://www.city.meguro.tokyo.jp/kurashi/kosodate/hitorioya/index.html,2026-09-06,,ヘルパー利用料が具体的に明記されている点で参考価値高い
