ward,category,program_name,min_age_months,max_age_months,income_condition,program_type,amount_or_content,application_channel,required_documents,has_deadline,deadline_rule,source_url,fetched_at,reviewed_by,notes
千代田区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,"一次締切は例年2月上旬(令和8年度は2月6日)と23区の中でも遅め。二次締切は2月下旬。区立・私立保育園、こども園が対象",区役所窓口 or オンライン申請,就労証明書等,1,例年1〜2月頃(他区より締切が遅い傾向),https://www.city.chiyoda.lg.jp/koho/kosodate/hoiku/enjiboshu.html,2026-09-06,,"23区の中では申込締切が春(2月)と際立って遅く、余裕を持って保活できる点が特徴。定員に対し希望者が少ない区特有の傾向"
中央区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,1次申込受付は例年10〜11月、結果通知は1月下旬、2月に面接・健康診断、3月に入所手続き,区役所窓口 or オンライン申請,就労証明書等,1,例年10月〜11月(1次)、2月(2次),https://www.city.chuo.lg.jp/a0021/kosodate/kosodate/hoikuen/hoiku/ninkahoiku/4gatsunyuenmoushikomikibou.html,2026-09-06,,オンライン申請の締切は受付最終日23:59まで
港区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,"1次: 郵送・電子申請は例年11月上旬〜下旬、窓口は11月上旬〜12月上旬、結果は1月末。2次: 1月中旬〜2月上旬、結果3月上旬",区役所窓口 or 郵送 or 電子申請,就労証明書等,1,例年11月(1次)、1〜2月(2次),https://www.city.minato.tokyo.jp/kodomo/kodomo/hoikuen/nyuen/r08-index.html,2026-09-06,,5月以降の途中入園は希望月の前月上旬受付
新宿区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,"1次申込は例年10月〜12月上旬に締切。夫婦フルタイム共働きの基準指数(40点前後)に希望者が集中しやすいとされる。年度途中の申込は前月5〜7日頃締切で毎月受付",区役所窓口 or オンライン申請,就労証明書等,1,例年10月〜12月上旬,https://www.city.shinjuku.lg.jp/kodomo/file04_07_00034.html,2026-09-06,,同一指数の場合の優先順位ルールが細かく定められている
文京区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,申込書配布は例年10月中旬から開始。年間を通じて翌月以降の入所申込も随時受付,区役所窓口 or 公式サイト,就労証明書等,1,例年10月中旬〜(詳細は年度ごとの公式案内参照),https://www.city.bunkyo.lg.jp/b023/p001736.html,2026-09-06,,問い合わせ:幼児保育課入園相談係 03-5803-1190
台東区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,"窓口予約は例年10月上旬〜11月上旬(令和8年度は10/10-11/7)。申込期間内であれば申込日の先後で有利不利は生じない",区役所窓口(予約制)or 郵送 or 電子申請,就労証明書等,1,例年10月〜2月頃(具体的な締切は年度ごとに公式案内で確認),https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/mokutei/hoiku_youjikyouiku/hoikutakuji/hoikuen/hoikuennyuen/hoikuenmousikomi.html,2026-09-06,,"「早く出しても有利にならない」ことを公式に明言している点が特徴的"
墨田区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,1次申込は例年11月中旬〜12月上旬(令和7年4月の例で郵送・電子11/19-12/3、窓口11/26-12/10)。結果は2月上旬に文書通知,区役所窓口 or 郵送 or 電子申請,就労証明書等,1,例年11月中旬〜12月上旬,https://www.city.sumida.lg.jp/kosodate_kyouiku/kosodate_site/azukeru/hoikuen/hokatsu.html,2026-09-06,,問い合わせ:子ども施設課入園係 03-5608-6152
江東区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,"令和8年度4月一次募集は9月16日〜11月20日。選考指数=基本指数(父)+基本指数(母)+調整指数で計算され、ひとり親家庭は+12点。0歳児の最低利用指数は24点程度(年度により変動)",区役所窓口 or 郵送 or 電子申請,就労証明書等,1,例年9月中旬〜11月下旬,https://www.city.koto.lg.jp/280308/hoikuenmoushikomi-r8.html,2026-09-06,,23区の中でも申込開始が早め(9月中旬)。指数の内訳(加算17項目・減算3項目)が公式に詳細公開されている
品川区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,1次申込は例年10月上旬〜11月下旬(令和7年4月の例で10/9-11/22必着)。結果は2月上旬、2次は2月中旬締切・3月発表,区役所窓口 or 郵送 or オンライン申請,就労証明書等,1,例年10月〜11月(1次)、2月(2次),https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-hoyou/kodomo-hoyou-hoikuen/hpg000027973.html,2026-09-06,,区独自の「150円ベビーシッター利用支援」等、保活と併用できる支援策がある(別カテゴリ扱い)
目黒区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,"1次利用調整は例年11月下旬必着(令和7年4月の例で11/26)。2次は2月上旬必着(2/9)。先着順・抽選ではなく必要度優先で決定",区役所窓口 or 郵送 or オンライン申請,就労証明書等,1,例年11月下旬(1次)、2月上旬(2次),https://www.city.meguro.tokyo.jp/hoiku/kosodatekyouiku/hoikuennado/moushikomiannai.html,2026-09-06,,郵送・オンライン受付は窓口締切の3開庁日前必着
大田区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,4月入園の締切日は年度ごとに公式サイトで案内(時期は例年秋頃)。5〜12月の途中入園は希望月の前月7日締切,区役所窓口(保育サービス課)or 郵送,就労証明書等,1,4月入園は例年秋頃(要公式サイト確認)、5〜12月入園は毎月前月7日,https://www.city.ota.tokyo.jp/download/kodomo/hoikuen/shiori.html,2026-09-06,,FAX・メール・各保育園・特別出張所では申込不可、窓口か郵送のみという点に注意
世田谷区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,"令和8年4月一次は9月1日〜11月10日、二次は11月12日〜翌2月2日。通常月は入園希望月の前月10日締切",地域の総合支所 子ども家庭支援課(窓口 or 郵送 or 電子申請),就労証明書等,1,例年9月〜11月(1次)、11月〜2月(2次),https://www.city.setagaya.lg.jp/01044/1561.html,2026-09-06,,23区最大の人口を抱え、5地域の総合支所ごとに窓口が分かれる点が特徴
渋谷区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,令和8年度4月一次は案内配布9月29日〜、オンライン・郵送申込10月1日〜11月20日、窓口申込10月23日〜11月28日,区役所窓口 or 郵送 or オンライン申請,就労証明書等,1,例年10月〜11月,https://www.city.shibuya.tokyo.jp/kodomo/hoiku/hoikuen-nyuen/hoiku_boshu2026.html,2026-09-06,,窓口受付より先にオンライン・郵送受付が開始する運用
中野区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,"1次結果は例年1月末発表、2次結果は3月上旬発表。施設ごとに独立して利用調整を行い、複数施設で内定条件を満たす場合は最優先順位の施設に決定",区役所窓口,就労証明書等,1,例年10〜11月申込、1月末(1次結果)、3月上旬(2次結果),https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/mokuteki/hoikuen/hoikuen/nyuuen/dai1jisenko.html,2026-09-06,,問い合わせ:子ども・教育部保育施設利用調整担当 03-3228-8960
杉並区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,1次申込は例年10〜11月受付。12月に区立保育園の内定通知、1月に一次結果発表,区役所窓口 or 郵送 or 電子申請,就労証明書等,1,例年10月〜11月,https://www.city.suginami.tokyo.jp/s058/1062.html,2026-09-06,,問い合わせ:保育課認定・入園係 03-5307-0657
豊島区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,"具体的な締切日は今回未確認(WebSearch上限に達したため深掘りできず)。一般的な23区の傾向(例年秋頃申込・指数制選考)に準じると見られる",区役所窓口(要確認),就労証明書等(要確認),1,要再確認(「入園のしおり」参照が必要),https://www.city.toshima.lg.jp/260/kosodate/kosodate/hoikuen/nyuen/1809261358.html,2026-09-06,,情報未確認、要再調査。上記URLの「入園のしおり」ダウンロードページに詳細情報がある見込み
北区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,"具体的な締切日は今回未確認(WebSearch上限に達したため深掘りできず)。一般的な23区の傾向(例年秋頃申込・指数制選考)に準じると見られる",区役所窓口(要確認),就労証明書等(要確認),1,要再確認,https://www.city.kita.lg.jp/children-edu/childcare/1002975/1002976/1003759/index.html,2026-09-06,,情報未確認、要再調査。上記URLの「募集・お知らせ」ページに詳細情報がある見込み
荒川区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,"具体的な締切日は今回未確認(WebSearch上限に達したため深掘りできず)。一般的な23区の傾向(例年秋頃申込・指数制選考)に準じると見られる",区役所窓口(要確認),就労証明書等(要確認),1,要再確認,https://www.city.arakawa.tokyo.jp/a037/kosodate/hoikuen/shodaku.html,2026-09-06,,情報未確認、要再調査
板橋区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,"具体的な締切日は今回未確認(WebSearch上限に達したため深掘りできず)。一般的な23区の傾向(例年秋頃申込・指数制選考)に準じると見られる",区役所窓口(要確認),就労証明書等(要確認),1,要再確認,https://www.city.itabashi.tokyo.jp/kosodate/azukeru/index.html,2026-09-06,,情報未確認、要再調査
練馬区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,"具体的な締切日は今回未確認(WebSearch上限に達したため深掘りできず)。一般的な23区の傾向(例年秋頃申込・指数制選考)に準じると見られる",区役所窓口(要確認),就労証明書等(要確認),1,要再確認,https://www.city.nerima.tokyo.jp/,2026-09-06,,情報未確認、要再調査。トップページのみ確認、詳細ページは未特定
足立区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,"具体的な締切日は今回未確認(WebSearch上限に達したため深掘りできず)。一般的な23区の傾向(例年秋頃申込・指数制選考)に準じると見られる",区役所窓口(要確認),就労証明書等(要確認),1,要再確認,https://www.city.adachi.tokyo.jp/k-kyoiku/index.html,2026-09-06,,情報未確認、要再調査。問い合わせ:お問い合わせコールあだち 03-3880-0039
葛飾区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,"具体的な締切日は今回未確認(WebSearch上限に達したため深掘りできず)。一般的な23区の傾向(例年秋頃申込・指数制選考)に準じると見られる",区役所窓口(要確認),就労証明書等(要確認),1,要再確認,https://www.city.katsushika.lg.jp/kosodate/1000056/1002333/index.html,2026-09-06,,情報未確認、要再調査。問い合わせ:はなしょうぶコールセンター 03-6758-2222
江戸川区,保育園入園(保活)関連情報,認可保育園入園申込(4月一斉入園),0,72,所得ではなく就労状況等による利用調整指数で選考,情報提供,"具体的な締切日は今回未確認(WebSearch上限に達したため深掘りできず)。一般的な23区の傾向(例年秋頃申込・指数制選考)に準じると見られる",区役所窓口(要確認),就労証明書等(要確認),1,要再確認,https://www.city.edogawa.tokyo.jp/,2026-09-06,,情報未確認、要再調査。トップページのみ確認、詳細ページは未特定
