ward,category,program_name,min_age_months,max_age_months,income_condition,program_type,amount_or_content,application_channel,required_documents,has_deadline,deadline_rule,source_url,fetched_at,reviewed_by,notes
千代田区,子ども医療費助成,こども・高校生等医療費助成制度,0,216,所得制限なし(23区共通方針。本ページでの明示的な文言は未確認),現物給付,0〜18歳到達後最初の3月31日まで、保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.chiyoda.lg.jp/koho/kosodate/teate/kodomoiryo.html,2026-09-06,,生活保護受給者・児童福祉施設入所児童・里親委託児童は対象外
中央区,子ども医療費助成,子ども医療費助成(マル乳・マル子・マル青),0,216,所得制限なし,現物給付,0〜18歳到達後最初の3月31日まで、保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.chuo.lg.jp/a0020/kosodate/kosodate/teatejosei/iryouhijosei/akimoto.html,2026-09-06,,高校生等(マル青)も所得制限なしと明記
港区,子ども医療費助成,子ども医療費助成,0,216,所得制限なし(令和5年4月に高校生等まで対象拡大した際の一般的な23区方針を踏襲と推定。本ページでの明示未確認),現物給付,0〜18歳到達後最初の3月31日まで、保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.minato.tokyo.jp/kosodatesien/kodomo/kate/kodomoiryo.html,2026-09-06,,要再確認: 所得制限の明示記載は検索結果からは見つからず
新宿区,子ども医療費助成,高校生等医療費助成(マル青),0,216,所得制限なし,現物給付,自己負担分(2〜3割)および入院時食事療養費の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.shinjuku.lg.jp/kodomo/kodomok01_000001_00013.html,2026-09-06,,マル青について所得制限なしと明記あり
文京区,子ども医療費助成,こども医療費助成,0,216,所得制限なし(0〜18歳全体としての記載。高校生年代個別の明記は未確認),現物給付,保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.bunkyo.lg.jp/b022/p001459/index.html,2026-09-06,,要再確認: 高校生年代(マル青)個別の所得制限記載は未確認
台東区,子ども医療費助成,子ども医療費助成制度(マル乳・マル子・マル青),0,216,"0歳〜中学3年生(マル子まで)は所得制限なし。高校生等(マル青、15〜18歳)は保護者の所得が一定基準以下の場合のみ対象という23区では珍しい例外あり",現物給付,保険診療の自己負担分を助成(高校生等は所得基準超過だと対象外),窓口,健康保険証等,0,,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/mokutei/teate_josei/iryohijosei/annai.html,2026-09-06,,"重要な差別化ポイント: 23区の多くが高校生まで所得制限なしの中、台東区は高校生年代のみ所得制限を維持している数少ない例"
墨田区,子ども医療費助成,子どもの医療費の助成(マル乳・マル子・マル青),0,216,所得制限なし(区が自己負担分を完全補填する方針との記載から推定。明示的な所得制限文言は未確認),現物給付,保険診療の自己負担分を区が完全補填,窓口 or オンライン,健康保険証等,0,,https://www.city.sumida.lg.jp/kosodate_kyouiku/kosodate_site/teate_jyosei_shien/teate_zyosei/jyosei/nyuuyouji_iryouhi.html,2026-09-06,,都外の医療機関では医療証は使えず、後日償還払いとなる点に注意
江東区,子ども医療費助成,子ども医療費助成,0,216,所得制限なし(23区共通方針とみられるが本ページでの明示未確認),現物給付,保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.koto.lg.jp/281011/kodomo/kosodate/teate/5844.html,2026-09-06,,要再確認: ページ本文までは未取得
品川区,子ども医療費助成,子どもすこやか医療費助成,0,216,所得制限の明示記載なし(検索結果では「区市町村により異なる」という一般論のみ。要個別確認),現物給付,保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-iryohizyosei/hpg000017744.html,2026-09-06,,要再確認: 品川区独自の所得制限有無は未確認
目黒区,子ども医療費助成,子ども医療費助成制度,0,216,所得制限の明記なし(0〜18歳対象という記載のみ確認),現物給付,保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.meguro.tokyo.jp/kosodateshien/kosodatekyouiku/kosodate/toha.html,2026-09-06,,要再確認: マル青の名称・所得制限個別記載は検索結果になし
大田区,子ども医療費助成,児童医療費助成制度(乳・子・青医療証),0,216,所得制限なし,現物給付,通院・入院・調剤の自己負担0円,窓口 or オンライン,健康保険証等,0,,https://www.city.ota.tokyo.jp/seikatsu/kodomo/teate/kodomonyuui.html,2026-09-06,,健診・予防接種・差額ベッド代等は対象外と明記
世田谷区,子ども医療費助成,子ども医療費助成制度(マル乳・マル子・マル青),0,216,所得制限に関する具体的記載は検索結果から確認できず(要再確認),現物給付,保険診療の自己負担分を助成,窓口,健康保険証等,0,,https://www.city.setagaya.lg.jp/02413/1305.html,2026-09-06,,生活保護受給者・児童福祉施設入所児童・里親委託児童は対象外
