ward,category,program_name,min_age_months,max_age_months,income_condition,program_type,amount_or_content,application_channel,required_documents,has_deadline,deadline_rule,source_url,fetched_at,reviewed_by,notes
千代田区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.chiyoda.lg.jp/koho/kenko/koresha/dokuji-kaigo/kami.html,2026-09-06,,調査の結果、乳児向け育児用品の現物支給制度は確認できず(見つかった紙おむつ支給は高齢者向けのみ)
中央区,紙おむつ・育児用品支給,新生児誕生祝品(区内共通買物・食事券),0,0,なし,現物給付,区内共通買物・食事券(金額は要確認),窓口 or オンライン,出生届出後の申請,0,,https://www.city.chuo.lg.jp/a0020/kosodate/shussan/shussanshien/kaimonokenn.html,2026-09-06,,直接的な紙おむつ支給ではなく商品券。おむつ購入にも使える可能性あり
港区,紙おむつ・育児用品支給,港区赤ちゃん応援定期便(ファミリー・アテンダント事業),0,12,なし,現物給付,見守り支援員が訪問し、おむつ等育児用品を配布(見守り訪問付き),郵送案内 → オンライン申請,なし,0,2025年4月1日以降生まれの0歳児等が対象,https://www.city.minato.tokyo.jp/chiikihoken/akacyan-ouen.html,2026-09-06,,港区は別途、区立保育園等利用者向け紙おむつサブスクも実施
新宿区,紙おむつ・育児用品支給,おむつ費用助成,0,24,なし,現金給付,月額3000円,窓口 or オンライン,住民登録確認,0,,https://www.city.shinjuku.lg.jp/fukushi/file05_02_00006.html,2026-09-06,,定期便による現物配布ではなく費用助成(現金給付)方式
文京区,紙おむつ・育児用品支給,赤ちゃんファースト(東京都出産・子育て応援事業),0,0,なし,現物給付,10万円相当のポイントで育児用品等をオンラインで選択購入,オンライン(IDカード配布後),こんにちは赤ちゃん訪問の受診,0,,https://www.city.bunkyo.lg.jp/b027/p001523.html,2026-09-06,,東京都内共通の枠組みを文京区が実施。区独自のおむつ定期便は別途確認できず
台東区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/nenrei/0_years/index.html,2026-09-06,,調査の結果、乳児向け育児用品の現物支給制度は確認できず(見つかった紙おむつ支給は高齢者向けのみ)
墨田区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.sumida.lg.jp/online_service/sinsei/kourei/omutu.html,2026-09-06,,調査の結果、乳児向け育児用品の現物支給制度は確認できず(見つかった紙おむつ支給は高齢者・障害者向けのみ)
江東区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.koto.lg.jp/222015/fukushi/shogaisha/service/nichijo/6707.html,2026-09-06,,調査の結果、乳児向け育児用品の現物支給制度は確認できず(見つかった紙おむつ支給は障害者・高齢者向けのみ)
品川区,紙おむつ・育児用品支給,見守りおむつ定期便(0歳児見守り・子育てサポート事業),0,12,所得制限なし,現物給付,月1回程度の訪問で3000円相当の育児用品(紙おむつ・ミルク・離乳食等から選択)を配布・最大12回,オンライン,なし,1,満1歳になるまで(2023年4月1日以降生まれが対象),https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/kodomo-ninnshinn-service/20231002181840.html,2026-09-06,,対面での見守り・相談も兼ねる事業
目黒区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.meguro.tokyo.jp/kosodatekyouiku/kosodate/shien/shienservice/index.html,2026-09-06,,調査の結果、乳児向け育児用品の現物支給制度は確認できず
大田区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.ota.tokyo.jp/seikatsu/fukushi/kourei/kyufu/kamiomutu.html,2026-09-06,,調査の結果、乳児向け育児用品の現物支給制度は確認できず(育児支援ヘルパー(1時間500円)はあるが現物給付ではない)
