ward,category,program_name,min_age_months,max_age_months,income_condition,program_type,amount_or_content,application_channel,required_documents,has_deadline,deadline_rule,source_url,fetched_at,reviewed_by,notes
千代田区,産後ケア事業,産後ケア事業(宿泊型・通所型・訪問型),0,12,"なし(要確認)",クーポン・利用料減免,"宿泊型8,000〜15,000円/通所型5,000〜7,000円/訪問型1,000円(目安、区が一部負担)",窓口(子育て推進課),母子健康手帳,0,,https://www.city.chiyoda.lg.jp/koho/kosodate/kosodate/ninshin/sango.html,2026-09-06,,対象は産後1年未満の母子
中央区,産後ケア事業,産後ケア事業,0,,"要確認(施設一覧PDF参照)",クーポン・利用料減免,"施設ごとの利用者負担額は施設一覧PDF参照。医療的ケア児・多胎児・低出生体重児等の事情がある方が対象",窓口,母子健康手帳,0,,https://www.city.chuo.lg.jp/a0031/kosodate/shussan/shussanshien/user_fkensu_time_20170323.html,2026-09-06,,対象要件がやや特殊(医療的ケア児・多胎児等)で要個別確認
新宿区,産後ケア事業,産後ケア事業(ショートステイ型・デイサービス型・アウトリーチ型),0,,"なし(要確認)",クーポン・利用料減免,"アウトリーチ型1回1,000円(最大3回、双子6回)/宿泊型1泊2日約8,000円/日帰り型1回約2,000円",保健センター窓口(牛込・四谷・東新宿・落合)/郵送/電子申請,母子健康手帳,0,,https://www.city.shinjuku.lg.jp/fukushi/postpartum_care.html,2026-09-06,,
文京区,産後ケア事業,産後ケア事業(宿泊型・デイサービス型サロン・訪問型),0,,"なし(要確認)",クーポン・利用料減免,"最大5回まで1回2,500円に減免(訪問型含む)",窓口,"母子健康手帳・利用承認通知書",0,,https://www.city.bunkyo.lg.jp/b029/p001560.html,2026-09-06,,
台東区,産後ケア事業,産後ケア(宿泊型・日帰り型/外来型・訪問型乳房ケア),0,4,"要確認(課税状況により自己負担額が変動)",クーポン・利用料減免,"施設設定額から区負担額を差し引いた額を自己負担(課税状況により異なる)",窓口,母子健康手帳,0,,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/mokutei/kenkou_iryou/shussan/sangocare.html,2026-09-06,,外来型・訪問型乳房ケアは産後1年未満まで対象(宿泊型・日帰り型は4ヶ月未満)
墨田区,産後ケア事業,産後ケア事業(宿泊型・日帰り型・外来型・訪問型),0,12,"住民税非課税世帯・生活保護世帯は免除",クーポン・利用料減免,"宿泊型1泊2日14,000円〜/日帰り型1回3,000円〜/外来型・訪問型各1回1,000円",窓口,母子健康手帳,0,,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/oyako_kenko/sangoriyou/index.html,2026-09-06,,宿泊型・日帰り型は原則産後4ヶ月未満、他は1年未満
江東区,産後ケア事業,産後ケア事業(日帰り型・スポット型・訪問型),0,12,"要確認",クーポン・利用料減免,"日帰り型は2026年3月まで3,500円、4月以降5,000円/回(2回まで)。乳房ケア(外来・訪問)は合わせて2回まで。宿泊型は5泊6日まで",窓口,母子健康手帳,0,,https://www.city.koto.lg.jp/260501/kodomo/ninshinshussan/kenko/99710.html,2026-09-06,,日帰り型は産後4ヶ月未満、スポット型は1年未満
品川区,産後ケア事業,産後ケア事業(訪問型・日帰り型(個別/集団)・宿泊型),0,12,"住民税非課税世帯は半額、生活保護世帯は免除",クーポン・利用料減免,"日帰り型(個別)・訪問型は合わせて5回まで(超過分は自費)",窓口,母子健康手帳,0,,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/kodomo-ninnshinn-umaretara/20240328204226.html,2026-09-06,,対象は産後1年未満の母子
目黒区,産後ケア事業,産後ケア事業(通所個別型・訪問型・宿泊型),0,12,"要確認",クーポン・利用料減免,"宿泊型は1泊2日7,500円(1泊2,500円減免適用後、最大5泊まで加算)",窓口(申請から利用まで概ね2週間),母子健康手帳,0,,https://www.city.meguro.tokyo.jp/chiikihoken/kosodatekyouiku/ninshin/sanngokea-tsusyokobetsu.html,2026-09-06,,通所個別型は産後4ヶ月未満、訪問型は1年未満
大田区,産後ケア事業,産後ケア事業(グループケア型 等),0,12,"生活保護受給者は受給者証提示で免除",クーポン・利用料減免,"詳細な利用料は公式サイト参照(生活保護世帯は免除)",窓口,母子健康手帳,0,,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shussan/sango-care.html,2026-09-06,,産後1年未満(グループケア型は5ヶ月未満)。早産児(在胎37週未満)は修正月齢を適用
