ward,category,program_name,min_age_months,max_age_months,income_condition,program_type,amount_or_content,application_channel,required_documents,has_deadline,deadline_rule,source_url,fetched_at,reviewed_by,notes
千代田区,出産祝い金・出産費用助成,出産費用助成(区独自制度),,,なし,実費償還,出産育児一時金を超えた自己負担分を最大31万円まで助成,窓口 or オンライン,出産費用の領収明細書等,1,出産後の申請(詳細な期限は公式サイトで要確認),https://www.city.chiyoda.lg.jp/koho/kosodate/teate/shussanhiyojosei.html,2026-09-06,,区独自制度として公式ページに明記あり
中央区,出産祝い金・出産費用助成,出産・子育て応援事業(区内共通買物・食事券),,,なし,現物給付,区内共通買物・食事券 合計5万円分(新生児誕生祝品3万円+追加2万円),窓口 or オンライン,母子健康手帳等,1,出産後の申請(詳細は公式サイトで要確認),https://www.city.chuo.lg.jp/a0031/kosodate/shussan/shussanshien/r6_shussan_kosodateouenjigyou.html,2026-09-06,,"公式ページの記載期間が「令和5年4月〜令和7年3月」となっており、2026年度時点で継続しているか要再確認"
港区,出産祝い金・出産費用助成,出産費用の助成,,,なし,実費償還,"助成金算出上限額(1人81万円/双子129万円/三つ子177万円)または出産費用実費のいずれか低い額から、出産育児一時金等を差し引いた額を助成",窓口 or オンライン,出産費用の領収書等,1,出産後の申請(詳細な期限は公式サイトで要確認),https://www.city.minato.tokyo.jp/kodomokyufu/kenko/ninshin/shussan/jose.html,2026-09-06,,双子・三つ子で上限額が変わる
新宿区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.shinjuku.lg.jp/kodomo/index02.html,2026-09-06,,調査の結果、区独自の出産関連上乗せ制度は確認できず(国の制度のみ)
文京区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.bunkyo.lg.jp/b027/p007561.html,2026-09-06,,調査の結果、出産祝い金に相当する区独自の現金給付は確認できず(新生児聴覚検査費助成・産婦健康診査費助成は別カテゴリとして存在)
台東区,出産祝い金・出産費用助成,出産費用助成制度,,,なし,現金給付,出産した区民一律5万円,オンライン申請(電子申請),住民票要件等,1,出産後の申請(詳細な期限は公式サイトで要確認),https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/mokutei/teate_josei/syussanhiyoujyosei.html,2026-09-06,,出産日当日に台東区に住民票がある産婦が対象
墨田区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/oyako_kenko/ninshin/yurikagosumida.html,2026-09-06,,調査の結果、区独自の出産関連上乗せ制度は確認できず(国・都の制度の組み合わせが中心)
江東区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://pulmo.jp/8440/,2026-09-06,,公式ページ(city.koto.lg.jp)未確認・まとめサイト情報。調査の結果、区独自の出産費用上乗せ制度は確認できず(要公式ページでの再確認)
品川区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/20230120091157.html,2026-09-06,,調査の結果、区独自の出産関連上乗せ制度は確認できず
目黒区,出産祝い金・出産費用助成,ゆりかご・めぐろ(育児用品カタログギフト),,,なし,現物給付,1万円相当の育児用品カタログギフト,窓口 or オンライン,母子健康手帳等,1,出産後の申請(詳細は公式サイトで要確認),https://www.city.meguro.tokyo.jp/kokuho/kurashi/kokuho/shussan_itijikin.html,2026-09-06,,出産費用への現金上乗せは確認できず。小規模な現物ギフトのみ確認(要公式ページでの詳細確認)
大田区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shussan/ninpunotamenosienkyuhu.html,2026-09-06,,調査の結果、区独自の出産費用上乗せ制度は確認できず(国の妊婦のための支援給付の窓口実施が中心)
世田谷区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.setagaya.lg.jp/02244/1178.html,2026-09-06,,従前の「出産・子育て応援ギフト」は令和8年3月31日で申請受付終了。現時点で新たな区独自の出産費用上乗せ制度は確認できず
渋谷区,出産祝い金・出産費用助成,ハッピーマザー出産助成金,,,なし,現金給付,1回の出産につき限度額10万円(加入健保からの付加給付がある場合はその額を控除),LINEで申請しATMで受取,マイナンバーカード等本人確認書類・母子健康手帳の出生記録,1,"出産日の3か月前から申請日まで区内継続居住が条件、出産後の申請(詳細期限は公式サイトで要確認)",https://kosodate.okadamari.com/article/kosodate_ninshinteate.html,2026-09-06,,公式ページ(渋谷区サイト)未確認・区議会議員サイトや報道記事からの情報。妊娠12週超の流産・死産も対象に含む
中野区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/nenreibetsu/ninshin/teate_zyosei/gift.html,2026-09-06,,調査の結果、区独自の出産費用上乗せ制度は確認できず
杉並区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.suginami.tokyo.jp/s054/1125.html,2026-09-06,,調査の結果、区独自の出産費用上乗せ制度は明確には確認できず(要再確認)
豊島区,出産祝い金・出産費用助成,出産費用電子クーポン,,,なし,現物給付,出産育児一時金を超えて発生した費用をカバーする5万円相当の電子クーポン(子育て用品取扱の提携オンラインストアで使用可),オンライン,情報不足のため公式サイトで要確認,1,出産後の申請(詳細は公式サイトで要確認),https://www.city.toshima.lg.jp/219/kosodate/ninshin/shussanmade/syussankosodateouen.html,2026-09-06,,出産費用の中央値を基準にした独自クーポン制度
北区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.kita.lg.jp/children-edu/pregnancy/index.html,2026-09-06,,調査の結果、区独自の出産費用上乗せ制度は確認できず(国制度の窓口実施が中心)
荒川区,出産祝い金・出産費用助成,ゆりかごギフト,,,なし,現物給付,1万円相当(ゆりかご面接時。妊婦支援給付金5万円とのダブル給付),保健所での面接後に申請案内,情報不足のため公式サイトで要確認,1,ゆりかご面接後に申請(詳細な期限は公式サイトで要確認),https://ikigai.town/ja/columns/kyufukin/cities/tokyo/%E8%8D%92%E5%B7%9D%E5%8C%BA.html,2026-09-06,,公式ページ未確認・まとめサイト情報。産後支援ボランティア派遣事業(35サポネットin荒川)も区独自
