ward,category,program_name,min_age_months,max_age_months,income_condition,program_type,amount_or_content,application_channel,required_documents,has_deadline,deadline_rule,source_url,fetched_at,reviewed_by,notes
千代田区,多胎児家庭向け支援,(該当制度なし),,,,,,,,0,,https://www.city.chiyoda.lg.jp/koho/kosodate/kosodate/ninshin/homon.html,2026-09-06,,"調査の結果、多胎児家庭に特化した独自支援制度(タクシー助成・ヘルパー加算等)は確認できず。出産準備手当(45,000円)は多胎児でも定額で変わらないと明記されている"
中央区,多胎児家庭向け支援,育児支援ヘルパー(多胎児加算),-9,6,なし,クーポン・利用料減免,"多胎児の場合、出産後に残っている利用回数に出生児数を乗じた回数に増加(例: 残り10回×双子2人=20回)",窓口 or オンライン,母子健康手帳,0,,https://www.city.chuo.lg.jp/a0025/kosodate/shussan/shussanshien/ikujisien.html,2026-09-06,,対象は母子健康手帳交付時〜出産後6ヶ月
港区,多胎児家庭向け支援,子どもタクシー利用券(多子世帯移動支援事業),0,72,なし,現金給付,"未就学児2人以上いる世帯に1世帯あたり24,000円分のタクシー利用券を支給(協定タクシー事業者のみ利用可)",案内が郵送される,情報不足のため公式サイトで要確認,0,,https://www.city.minato.tokyo.jp/kodomoshien/kodomotakusi.html,2026-09-06,,厳密には「多胎児」限定ではなく「未就学児2人以上の多子世帯」向け。多胎児家庭は自動的に該当
新宿区,多胎児家庭向け支援,多胎児家庭への移動支援事業 + 産前産後支援事業,0,36,なし,クーポン・利用料減免,"タクシー等に使える「こども商品券」24,000円分を0・1・2歳の各年齢で1回ずつ申請可(専門職面接必須)。産前産後支援事業では3歳未満の多胎児に育児・家事支援を提供",専門職(保健師等)の面接後に申請,情報不足のため公式サイトで要確認,0,,https://www.smart-hojokin.jp/subsidies/49962,2026-09-06,,令和6年度開始の比較的新しい制度。公式ページ(city.shinjuku.lg.jp)での金額再確認を推奨
文京区,多胎児家庭向け支援,ふたごちゃん・みつごちゃん家事育児支援利用料補助 + 移動経費補助,-9,36,なし,クーポン・利用料減免,妊娠中〜3歳未満の多胎児家庭向けに家事・育児支援サービスの利用料補助、および移動費補助(タクシー等)を提供,窓口 or オンライン,情報不足のため公式サイトで要確認,0,,https://www.happy-bears.com/special_corp/government/bunkyoku/,2026-09-06,,公式ページ(city.bunkyo.lg.jp)未確認・まとめサイト情報。要再確認
台東区,多胎児家庭向け支援,産前産後支援ヘルパー"あったかハンド"(多胎世帯向け) + タクシー利用料支給,0,36,なし,クーポン・利用料減免,"通常300円/時間(減額制度あり)。多胎世帯向けは電子クーポンで1〜2週間で交付。タクシー利用料は乳幼児健診等の母子保健事業利用時の費用を助成",オンライン(mila-e電子申請),母子健康手帳,0,,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/nenrei/ninshinki/soudan_shien/helper_tatai.html,2026-09-06,,母子健康手帳取得〜3歳の誕生日前日まで対象
墨田区,多胎児家庭向け支援,子育て世帯商品券(タクシー利用可) + 家事・育児サポーター事業,0,24,なし,クーポン・利用料減免,"0・1・2歳の各年齢で年1回申請できる24,000円の子ども商品券(タクシー利用可)。家事・育児サポーターは多胎児家庭の場合、通常より大幅に多い年間120〜240時間まで利用可能。多胎児家庭交流会も年2回開催",子ども家庭支援センターでの面接後に申請,母子健康手帳,0,,https://www.city.sumida.lg.jp/kosodate_kyouiku/kosodate_site/teate_jyosei_shien/tataijikatei.html,2026-09-06,,
江東区,多胎児家庭向け支援,こうとう家事・育児サポート事業(多胎児家庭向け),,,なし,クーポン・利用料減免,松が丘助産院が運営する多胎児家庭向け訪問支援事業。利用登録は電子申請または窓口・郵送,電子申請 or こども家庭支援課,情報不足のため公式サイトで要確認,0,,https://www.city.koto.lg.jp/281012/tataizishien2.html,2026-09-06,,申請から利用者手帳交付まで1週間〜10日程度
品川区,多胎児家庭向け支援,多胎児家庭の家事・育児支援ヘルパー等利用助成(産後ドゥーラ),-9,36,なし,クーポン・利用料減免,"助成時間の上限: 妊娠中〜1歳未満240時間/1〜2歳未満180時間/2〜3歳未満120時間。ベビーシッター・家事代行は対象外(産後ドゥーラ等提携事業者限定)",提携事業者経由,情報不足のため公式サイトで要確認,0,,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-kateisoudan/20210312164557.html,2026-09-06,,助成時間が年齢で段階的に減っていく設計
目黒区,多胎児家庭向け支援,さくらんぼめぐろ(多胎児面接) + 家事育児支援ヘルパー派遣事業,-1,24,なし,クーポン・利用料減免,"家事育児支援ヘルパーは出産予定日の1ヶ月前〜2歳まで利用可、500円/時間。産後ケア事業は多胎児の場合追加利用料をすべて区が負担(宿泊型は1泊2,500円減免、最大5泊)。ファミリー・サポート・センターも多胎児家庭向けに配慮あり(800円/時間・休日1,000円/時間)",窓口 or オンライン,母子健康手帳,0,,https://local-media.heteml.net/archives/26189,2026-09-06,,公式ページ(city.meguro.tokyo.jp)の複数ページから合成した情報。金額の再確認を推奨
