ward,category,program_name,min_age_months,max_age_months,income_condition,program_type,amount_or_content,application_channel,required_documents,has_deadline,deadline_rule,source_url,fetched_at,reviewed_by,notes
千代田区,任意予防接種費用助成,おたふくかぜ任意予防接種費用助成(全額)/高校生以下インフルエンザ無料助成,12,72,なし,クーポン・利用料減免,"おたふくかぜは全額助成(自己負担なし)。高校生以下のインフルエンザ予防接種費用も無料",委託医療機関で予診票提示,母子健康手帳,0,,https://www.city.chiyoda.lg.jp/koho/kosodate/kosodate/yobosesshu/nini/index.html,2026-09-06,,"23区の中でも珍しく「全額」助成。インフルエンザも高校生以下無料と手厚い"
中央区,任意予防接種費用助成,おたふくかぜ任意予防接種費用一部助成/小児インフルエンザ任意予防接種費用一部助成,12,72,なし,クーポン・利用料減免,"おたふくかぜ:1回4,000円助成(2回まで)。小児インフルエンザ:別途助成あり(金額は公式サイトで要確認)",委託医療機関で予診票提示,母子健康手帳,0,,https://www.city.chuo.lg.jp/a0031/kenkouiryou/iryou/yobousesshu/suitouotahukuitibujosei.html,2026-09-06,,
港区,任意予防接種費用助成,おたふくかぜ予防接種/男性HPV/こどもインフルエンザ助成,12,72,なし,クーポン・利用料減免,"おたふくかぜ:2026年7月1日開始、1回あたり7,000円引き(自己負担額は医療機関により異なる)。男性HPV・小児インフルエンザも別途助成あり",委託医療機関で予診票提示,母子健康手帳,0,,https://www.city.minato.tokyo.jp/hokenyobou/yobousessyu/otafukukaze.html,2026-09-06,,
新宿区,任意予防接種費用助成,任意予防接種費用助成(対象ワクチン詳細不明),,,なし,,自治体指定ワクチンについて接種費用の助成があると公式サイトに記載あるが、対象ワクチン・金額の詳細ページには到達できず,,,0,,https://www.city.shinjuku.lg.jp/kenkou/index02_02_05_01.html,2026-09-06,,"助成制度自体は存在する可能性が高いが詳細未確認。本番反映前に新宿区保健予防課への確認を推奨"
文京区,任意予防接種費用助成,おたふくかぜ(令和8年度)/子どもインフルエンザ助成,12,72,なし,クーポン・利用料減免,"おたふくかぜ:1回3,000円助成(自己負担は接種費用との差額)。令和8年度は4/1〜翌3/31が助成期間",委託医療機関で予診票記入,母子健康手帳,1,毎年度4月1日〜翌年3月31日,https://www.city.bunkyo.lg.jp/b028/p002668.html,2026-09-06,,前年度に同助成を受けた人は対象外
台東区,任意予防接種費用助成,おたふくかぜ費用一部助成/小児インフルエンザワクチン接種費用助成,6,180,なし,クーポン・利用料減免,"おたふくかぜ:一部助成(予診票と接種費用の差額を自己負担)。小児インフルエンザ:1回2,300円助成、生後6か月〜中学3年生対象(13歳未満は2回、13歳以上は1回)",委託医療機関で予診票提示,母子健康手帳,0,,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/mokutei/kenkou_iryou/yobousesshu/ninni/otahukuhiyoujosei.html,2026-09-06,,
墨田区,任意予防接種費用助成,おたふくかぜ任意予防接種費用一部助成/こどもインフルエンザ任意予防接種費用一部助成,12,96,なし,クーポン・利用料減免,"令和6年4月開始。対象は1歳〜就学前、および平成30年4月2日〜令和2年4月1日生まれで2回未接種の児童も対象(すでに1回接種済みなら対象外)。事前申請制で、申請後に予診票を受け取り協力医療機関で接種",オンライン/電話/区役所窓口で事前申請,母子健康手帳,1,接種前に事前申請が必要(申請なしで接種した分は助成対象外),https://www.city.sumida.lg.jp/kenko_fukushi/kenko/yobou_sessyu/kodomo/R6otafukukaze.html,2026-09-06,,他区と異なり「事前申請必須・後払い不可」という運用が特徴的
江東区,任意予防接種費用助成,こどもインフルエンザ予防接種助成(おたふくかぜの区独自助成は確認できず),,180,なし,クーポン・利用料減免,"インフルエンザ:生年月日により不活化ワクチン1回2,000円(2回まで)、経鼻生ワクチン1回4,000円。令和7年度分は令和8年1月31日で終了、年度ごとに再開の可能性あり",委託医療機関で区の予診票を使用,母子健康手帳,1,年度末(1月末頃)で毎年度の助成期間終了、翌年度の再開時期は要確認,https://www.city.koto.lg.jp/260501/kodomo/iryo/yobo/20240921.html,2026-09-06,,"調査の結果、おたふくかぜへの区独自助成は確認できず(依頼書発行の対象外と案内あり)。近隣の江戸川区とは対照的"
品川区,任意予防接種費用助成,おたふくかぜ/MR任意/インフルエンザ/男性HPV任意接種費用助成,12,72,なし,クーポン・利用料減免,"おたふくかぜ・MR任意・インフルエンザ・男性HPVをまとめて助成。おたふくかぜは1回3,000円助成(2回まで)。品川区内契約医療機関限定",委託医療機関で予診票提示,母子健康手帳,0,,https://www.city.shinagawa.tokyo.jp/PC/kenkou/yobousessyu/hpg000027872.html,2026-09-06,,MRワクチン任意接種の全額助成もある点が他区と比べて手厚い
目黒区,任意予防接種費用助成,おたふくかぜワクチン予防接種費用助成,,,生活保護受給世帯・中国残留邦人等支援給付受給世帯は全額助成,クーポン・利用料減免,"契約医療機関の接種費用から区の助成額を差し引いた額を自己負担(具体的な助成金額は公式サイトで要確認)。生活保護世帯等は全額免除",委託医療機関で予診票提示,"母子健康手帳・乳幼児医療証・本人確認書類",0,,https://www.city.meguro.tokyo.jp/hokenyobou/kenkoufukushi/yobousesshu/otafuku.html,2026-09-06,,助成額の具体的な金額は検索結果からは未確認。生活保護世帯等への全額免除は他区にもある一般的な配慮
