vaccine_name,dose_label,dose_number,category,disease,start_age_months,end_age_months,interval_note,notes,source_url,fetched_at
ロタウイルス,1回目,1,定期,ロタウイルス感染症,2,3.5,,経口の生ワクチン。初回接種は生後14週6日までに開始する。1価は2回・5価は3回接種,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/vaccine/rota/index.html,2026-09-06
ロタウイルス,2回目,2,定期,ロタウイルス感染症,3,6,前回から27日以上あける,1価ワクチンはここで完了,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/vaccine/rota/index.html,2026-09-06
ロタウイルス,3回目(5価のみ),3,定期,ロタウイルス感染症,4,8,前回から27日以上あける,5価ワクチンの場合のみ。生後32週0日までに完了,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/vaccine/rota/index.html,2026-09-06
B型肝炎,1回目,1,定期,B型肝炎,2,,,母子感染予防の対象児は生後すぐに別スケジュールで接種,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/index.html,2026-09-06
B型肝炎,2回目,2,定期,B型肝炎,3,,1回目から27日以上あける,,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/index.html,2026-09-06
B型肝炎,3回目,3,定期,B型肝炎,7,12,1回目から139日以上あける,標準は生後7〜8か月,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/index.html,2026-09-06
小児用肺炎球菌,1回目,1,定期,肺炎球菌感染症,2,,,15価または13価。生後2か月から同時接種が推奨される,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/index.html,2026-09-06
小児用肺炎球菌,2回目,2,定期,肺炎球菌感染症,3,,前回から27日以上あける,,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/index.html,2026-09-06
小児用肺炎球菌,3回目,3,定期,肺炎球菌感染症,4,,前回から27日以上あける,,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/index.html,2026-09-06
小児用肺炎球菌,追加,4,定期,肺炎球菌感染症,12,15,3回目から60日以上あけて1歳以降,標準は1歳〜1歳3か月,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/index.html,2026-09-06
5種混合,1回目,1,定期,ジフテリア・百日せき・破傷風・ポリオ・ヒブ感染症,2,,,2024年4月に定期接種化。従来の4種混合+ヒブの後継,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/vaccine/dpt-ipv-hib/index.html,2026-09-06
5種混合,2回目,2,定期,ジフテリア・百日せき・破傷風・ポリオ・ヒブ感染症,3,,前回から20〜56日あける,,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/vaccine/dpt-ipv-hib/index.html,2026-09-06
5種混合,3回目,3,定期,ジフテリア・百日せき・破傷風・ポリオ・ヒブ感染症,4,,前回から20〜56日あける,,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/vaccine/dpt-ipv-hib/index.html,2026-09-06
5種混合,追加,4,定期,ジフテリア・百日せき・破傷風・ポリオ・ヒブ感染症,18,,3回目から6か月以上あける,標準は3回目終了の1年〜1年半後(1歳半ごろ),https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/vaccine/dpt-ipv-hib/index.html,2026-09-06
BCG,1回,1,定期,結核,5,8,,標準は生後5〜8か月。定期接種の対象は1歳未満,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/index.html,2026-09-06
MR(麻しん風しん),1期,1,定期,麻しん・風しん,12,24,,1歳になったらできるだけ早く。2歳の誕生日前日まで,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/index.html,2026-09-06
MR(麻しん風しん),2期,2,定期,麻しん・風しん,60,84,,小学校入学前の1年間(いわゆる年長)。5〜6歳,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/index.html,2026-09-06
水痘(みずぼうそう),1回目,1,定期,水痘,12,15,,標準は1歳〜1歳3か月,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/index.html,2026-09-06
水痘(みずぼうそう),2回目,2,定期,水痘,18,36,1回目から6〜12か月あける,定期接種の対象は3歳の誕生日前日まで,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/index.html,2026-09-06
日本脳炎,1期初回1回目,1,定期,日本脳炎,36,,,標準は3歳。生後6か月から接種は可能,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/index.html,2026-09-06
日本脳炎,1期初回2回目,2,定期,日本脳炎,36,,1回目から1〜4週あける,,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/index.html,2026-09-06
日本脳炎,1期追加,3,定期,日本脳炎,48,,2回目からおおむね1年後,標準は4歳,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/index.html,2026-09-06
日本脳炎,2期,4,定期,日本脳炎,108,156,,9〜12歳,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/yobou-sesshu/index.html,2026-09-06
